,Unnamed: 0,question,answer,cluster,index
5104,5104,"The school band is going to a competition. Five members play the flute. There are three times as many members who play the trumpet. There are eight fewer trombone players than trumpeters, and eleven more drummers than trombone players. There are twice as many members that play the clarinet as members that play the flute. Three more members play the French horn than play the trombone. How many seats are needed on the bus?","There are 3 trumpets/flute x 5 flutes = <<3*5=15>>15 trumpet players
There are 15 players - 8 players = <<15-8=7>>7 trombone players
There are 7 players + 11 players = <<7+11=18>>18 drummers.
There are 2 clarinets/flute x 5 flutes = 10 clarinet players
There are 7 players + 3 players = <<7+3=10>>10 French horn players
In total 5 players + 15 players + 7 players + 18 players + 10 players + 10 players = <<5+15+7+18+10+10=65>>65 seats needed.
#### 65",0,4651
7292,7292,"Marta was about to start the school year and needed to buy the necessary textbooks. She managed to buy five on sale, for $10 each. She had to order two textbooks online, which cost her a total of $40, and three she bought directly from the bookstore for a total of three times the cost of the online ordered books. How much in total did Martha spend on textbooks?","Marta bought five textbooks on sale, for a total of 5 * 10 = $<<5*10=50>>50.
Three textbooks from the bookstore had a cost of 3 * 40 = $<<3*40=120>>120.
That means that Marta spent in total 50 + 40 + 120 = $<<50+40+120=210>>210 on textbooks.
#### 210",1,2455
6607,6607,"Carly is a pet groomer. Today, her task was trimming the four nails on dogs’ paws. She trimmed 164 nails, but three of the dogs had only three legs. How many dogs did Carly work on?","Let N be the number of dogs with 4 legs Carly worked on.
All the dogs with 4 legs had 4N paws.
There were 3 * 3 = <<3*3=9>>9 paws on dogs with 3 legs.
At 4 nails per paw, she trimmed 164 / 4 = <<164/4=41>>41 paws.
She worked on 4N + 9 = 41 paws.
Thus, she worked on 4N = 32 paws on dogs with 4 legs.
She worked on N = 32 / 4 = <<32/4=8>>8 dogs with 4 legs.
Thus, Carly worked on 8 + 3 = <<8+3=11>>11 dogs.
#### 11",2,2667
3165,3165,"In seven years, Talia will be 20 years old.  Talia's mom is currently three times as old as Talia is today.  In three years, Talia's father will be the same age as Talia's mom is today.  Currently, how many years old is Talia's father?","In seven years, Talia will be 20 years old, and therefore Talia is currently 20-7=<<20-7=13>>13 years old.
Talia's mom is currently three times as old as Talia is today, or 3*13=<<3*13=39>>39 years old.
If in three years, Talia's father will be the same age as Talia's mom is today, then Talia's father is currently 39-3=<<39-3=36>>36 years old.
#### 36",3,886
5402,5402,"A plane takes off at 6:00 a.m. and flies for 4 hours from New York City to Chicago. The plane stays at the port in Chicago for 1 hour and then departs for Miami. If the aircraft took three times as many hours to fly to Miami than it took to fly from New York to Chicago, calculate the total time to travel from New York to Miami.","Before departing for Miami from Chicago, the total time the plane had taken for the journey is 4+1 = <<4+1=5>>5 hours.
It took 3*4 = <<3*4=12>>12 hours to fly to Miami

The total flying time from New York to Miami is 12+5 = <<12+5=17>>17 hours
#### 17",4,1096
7040,7040,There are 20 dolphins in the aqua park. One-fourth of the dolphins are fully trained. Two-third of the remaining dolphins are currently in training and the rest will be trained next month. How many dolphins will be trained next month?,"20 x 1/4 = <<20*1/4=5>>5 dolphins are fully trained.
So, 20 - 5 = <<20-5=15>>15 dolphins are not yet fully trained.
15 x 2/3 = <<15*2/3=10>>10 are currently in training.
Therefore, 15 - 10 = <<15-10=5>>5 dolphins will be trained next month.
#### 5",0,4899
4252,4252,"Maria bought a ticket to a ZOO. The regular price stands at $15, but she was able to get a 40% discount. How much did Maria pay for the ticket?","The discount Maria got was 40/100 * 15 = $<<40/100*15=6>>6.
That means the price for her ticket was 15 - 6 = $<<15-6=9>>9.
#### 9",1,1375
5737,5737,Paula has 20 candies to be given out to her six friends. She needs to buy four additional candies so she can give an equal number of candies to her friends. How many candies will each of her friends get?,"Paula will have a total of 20 + 4 = <<20+4=24>>24 candies.
Thus, each of her friends will receive 24/6 = <<24/6=4>>4 candies.
#### 4",2,2418
4566,4566,"Zion is 8 years old and his dad is 3 more than 4 times his age. In 10 years, how many years older is Zion's dad than him?","Four times Zion's age is 8 x 4 = <<8*4=32>>32.
So Zion's dad is 32 + 3 = <<32+3=35>>35 years old.
In 10 years, Zion will be 8 + 10 = <<8+10=18>>18 years old.
In 10 years, Zion's dad will be 35 + 10 = <<35+10=45>>45 years old.
Hence, in 10 years, Zion's dad will be 45 - 18 = <<45-18=27>>27 years older than Zion.
#### 27",3,3743
4458,4458,"If the normal hours of operation of Jean's business are 4 pm to 10p every day Monday through Friday, and from 6 pm to 10 pm on weekends, how many hours is the business open in a week?","First, we find the number of hours per weekday by subtracting the smaller number time from the larger one, finding 10-4= <<10-4=6>>6 hours per weekday.
As there are 5 weekdays, this means the business is open 6*5=30 hours a week on the weekdays.
Then we find out the amount of time the business is open on a weekend day, using the same process as we did with the weekdays, finding Jean's business is open 10-6= <<10-6=4>>4 hours each weekend day.
Since there are two weekend days, this means they are open 4*2=<<4*2=8>>8 hours on the weekends.
We add these two totals together to find that 30+8= <<30+8=38>>38 hours per week.
#### 38",4,1597
4717,4717,A zoo has 21 penguins and twice as many polar bears?  How many total animals do they have?,"There are 21*2=<<21*2=42>>42 polar bears
So the total 21+42=<<21+42=63>>63 total animals
#### 63",0,1801
2560,2560,"Mr. Smith has incurred a 2% finance charge because he was not able to pay on time for his balance worth $150. If he plans to settle his balance today, how much will Mr. Smith pay?","The finance charge amounts to $150 x 2/100 = $<<150*2/100=3>>3.
Thus, Mr. Smith will pay a total of $150 + $3 = $<<150+3=153>>153.
#### 153",1,4027
4242,4242,"Aston has accidentally torn apart his comics and needs to put all the pages back together. Each comic has 25 pages and Aston has found 150 pages on the floor. He puts his comics back together and adds them back into his box of comics. If there were already 5 untorn comics in the box, how many comics are now in the box of comics?","Aston had torn and has now fixed a total of 150 pages on the floor / 25 pages per comic = <<150/25=6>>6 comics.
Adding this to the comics that were never torn means there are 6 fixed comics + 5 untorn comics = <<6+5=11>>11 comics in the box of comics.
#### 11",2,3756
2435,2435,"In 5 years, Frank will be three times as old as Ty is now. Ty is currently 4 years more than two times as old as Carla is now. Carla is currently 2 years older than Karen is now. If Karen is currently 2 years old, how old will Frank be in 5 years?","Carla is currently 2 + 2 = <<2+2=4>>4 years old
Ty is currently (2 * 4) + 4 = <<2*4+4=12>>12 years old
In 5 years, Frank will be 12 * 3 = <<12*3=36>>36 years old
#### 36",3,5172
1546,1546,"A woman is trying to decide whether it will be quicker to take an airplane or drive herself to a job interview. If she drives herself, the trip will take her 3 hours and 15 minutes.  If she takes an airplane, she will first need to drive 10 minutes to the airport, and then wait 20 minutes to board the plane.  After that, she will be on the airplane for one-third of the time it would have taken her to drive herself before landing in the destination city. Finally, it will take her an additional 10 minutes to get off the airplane and arrive at her interview site after the plane lands.  Given this information, how many minutes faster is it for her to take the airplane?","First, we must convert the driving time of 3 hours and 15 minutes to minutes. Since there are 60 minutes in an hour, driving takes a total of 3*60 + 15 = <<3*60+15=195>>195 minutes.
Next, the woman will be on the airplane for one-third of 195 minutes, or 195/3 = <<195/3=65>>65 minutes.
Therefore, in total, the airplane trip will take the woman 10 + 20 + 65 + 10 = <<10+20+65+10=105>>105 minutes.
Thus, the airplane trip is 195 - 105 = <<195-105=90>>90 minutes faster than driving herself to the interview.
#### 90",4,2818
4146,4146,"At Roosevelt high school there are 600 students in the senior class. A fifth of the students are in the marching band. Of the students in the marching band, half of them play a brass instrument. Of the students that play a brass instrument, a fifth of them play the saxophone. Of the students that play the saxophone, a third of them play the alto saxophone. How many students play the alto saxophone?","The number of students in the marching band is 600 / 5 = <<600/5=120>>120 students
The number of students that play a brass instrument is 120 / 2 = <<120/2=60>>60 students
The number of students that play the saxophone is 60 / 5 = <<60/5=12>>12 students
The number of students that play the alto saxophone is 12 / 3 = <<12/3=4>>4 students
#### 4",0,4730
3309,3309,"Denver uses 7 pieces of wood for each birdhouse and he pays $1.50 for each piece of wood. If he makes a $5.50 profit per birdhouse, how much will Denver charge to Danny for buying two birdhouses?","The cost for making one birdhouse is $1.50 x 7 = $<<1.5*7=10.50>>10.50.
So the selling price of one birdhouse is $10.50 + $5.50 = $<<10.5+5.5=16>>16.
Thus, Denver will charge Danny $16 x 2 = $<<16*2=32>>32 for the two birdhouses.
#### 32",1,44
4869,4869,Brenda catches smallpox. She has 60 blisters on each arm and 80 blisters on the rest of her body. How many blisters does she have in total?,"First find the total number of blisters on Brenda's arms: 60 blisters/arm * 2 arms = 120 blisters
Then add the blisters on the rest of her body to find the total: 120 blisters + 80 blisters = <<120+80=200>>200 blisters
#### 200",2,4706
1307,1307,"Sarah's age is equal to three times Mark's age minus 4. Mark is four years older than Billy. Billy is half Ana's age. If Ana will be 15 in 3 years, how old is Sarah?","First figure out how old Ana is right now by subtracting 3 from 15: 15 - 3 = <<15-3=12>>12
Next, figure out how old Billy is by dividing Ana's age by 2: 12 / 2 = <<6=6>>6
Now figure out how old Mark is by adding 4 to Billy's age: 6 + 4 = <<6+4=10>>10
Now, to figure out Sarah's age, first multiply Mark's age by 3: 10 * 3 = <<10*3=30>>30
Finally, subtract 4 from triple Mark's age to find Sarah's age: 30 - 4 = <<30-4=26>>26
#### 26",3,3038
5031,5031,"Gretchen read that you should spend 10 minutes walking for every 90 minutes you spend sitting. If Gretchen spends 6 hours working at her desk, how long will she spend walking?","First find the total number of minutes Gretchen spends sitting at her desk: 6 hours * 60 minutes/hour = <<6*60=360>>360 minutes
Then divide this amount by 90 minutes to find how many walking breaks Gretchen takes: 360 minutes / 90 minutes/break = <<360/90=4>>4 breaks
Then multiply the number of breaks by the length of each break to find how long Gretchen spends walking: 4 breaks * 10 minutes/break = <<4*10=40>>40 minutes
#### 40",4,3880
5104,5104,"The school band is going to a competition. Five members play the flute. There are three times as many members who play the trumpet. There are eight fewer trombone players than trumpeters, and eleven more drummers than trombone players. There are twice as many members that play the clarinet as members that play the flute. Three more members play the French horn than play the trombone. How many seats are needed on the bus?","There are 3 trumpets/flute x 5 flutes = <<3*5=15>>15 trumpet players
There are 15 players - 8 players = <<15-8=7>>7 trombone players
There are 7 players + 11 players = <<7+11=18>>18 drummers.
There are 2 clarinets/flute x 5 flutes = 10 clarinet players
There are 7 players + 3 players = <<7+3=10>>10 French horn players
In total 5 players + 15 players + 7 players + 18 players + 10 players + 10 players = <<5+15+7+18+10+10=65>>65 seats needed.
#### 65",0,4651
745,745,"Village Foods sells good food at a fair price.  Their specialty is fresh vegetables.  If they get 500 customers per month, and each customer purchases 2 heads of lettuce for $1 each and 4 tomatoes for $0.5 apiece, then how much money, in dollars, will the store receive in sales of lettuce and tomatoes per month?","2 heads of lettuce at $1 apiece is 2*$1=$<<2*1=2>>2.
4 tomatoes at $0.50 apiece is 4*$0.5=$<<4*0.5=2>>2.
Thus, each customer purchases $2+$2=$<<2+2=4>>4 in lettuce and tomatoes per month.
Therefore, if 500 customers per month spend $4 on lettuce and tomatoes, then the store will receive $4*500=$<<4*500=2000>>2000 per month on sales of lettuce and tomatoes.
#### 2000",1,645
4330,4330,"Simon has 20% more legos than Bruce, who has 20 more than Kent.  If Kent has 40 legos, how many does Simon have?","Bruce has 20 more legos than Kent who has 40 so Bruce has 20+40 = <<20+40=60>>60 legos
Simon has 20% more legos than Bruce who has 60 legos so that's .20*60 = <<20*.01*60=12>>12 more legos
20% more is 12 legos and Bruce has 60 so Simon has 12+60 = 72 legos
#### 72",2,4499
6294,6294,"Roger's age is 5 more than twice Jill's age. In 15 years, their age difference will be 30 years less than Finley's age. If Jill is 20 years old now, how old is Finley?","Twice Jill's age is 2*20=<<2*20=40>>40
If Roger's age is 5 more than twice Jill's age, he is 5+40=45 years old.
In 15 years, Jill will be 20+15=<<20+15=35>>35 years old.
Roger's age will be 45+15=<<45+15=60>>60 years old in 15 years.
The age difference between Roger and Jill in fifteen years will be 60-35=<<60-35=25>>25 years
In 15 years, the age difference between Roger and Jill will be 30 years less than Finley's age, meaning in fifteen years Finley will be 30+25=<<30+25=55>>55 years old.
Currently, Finley is 55-15=<<55-15=40>>40 years old.
#### 40",3,4913
5606,5606,"Gunther needs to clean his apartment.  It takes him 45 minutes to vacuum the carpets, 60 minutes to dust the furniture, 30 minutes to mop the floors in his kitchen, and 5 minutes to brush each cat, and he has three cats.  If he has 3 hours of free time available, and he uses this time to clean his apartment, how many minutes of free time will he have left after he cleans the apartment?","It will take 3 * 5 = <<3*5=15>>15 minutes to brush his cats.
All together, it will take 45 + 60 + 30 + 15 = <<45+60+30+15=150>>150 minutes to clean his apartment.
In three hours, there are 60 * 3 = <<60*3=180>>180 minutes.
Thus, he will have 180 - 150 = <<180-150=30>>30 minutes of free time remaining.
#### 30",4,3208
3319,3319,"A 10 meters yarn was cut into 5 equal parts. If 3 parts were used for crocheting, how long was used for crocheting?","Each part is 10/5 = <<10/5=2>>2 meters long.
Therefore, 2 x 3 = <<2*3=6>>6 meters of yarn were used for crocheting.
#### 6",0,1078
2560,2560,"Mr. Smith has incurred a 2% finance charge because he was not able to pay on time for his balance worth $150. If he plans to settle his balance today, how much will Mr. Smith pay?","The finance charge amounts to $150 x 2/100 = $<<150*2/100=3>>3.
Thus, Mr. Smith will pay a total of $150 + $3 = $<<150+3=153>>153.
#### 153",1,4027
7263,7263,Sidney has 4 kittens and 3 adult cats.  She has 7 cans of cat food.  Each adult cat eats 1 can of food per day.  Each kitten eats 3/4 of a can per day.  How many additional cans of food does Sidney need to buy to feed all of her animals for 7 days.,"Sidney has 3 adult cats * 1 can of food = <<3*1=3>>3 cans of food per day.
Sidney's adult cats will need 3 cans * 7 days = <<3*7=21>>21 cans for the week.
Sidney has 4 kittens * 3/4 cup of food = <<4*3/4=3>>3 cans of food per day.
Sidney's kittens will need 3 cans * 7 days = <<3*7=21>>21 cans for the week.
Sidney will need to buy 21 cans + 21 cans - 7 cans = <<21+21-7=35>>35 cans.
#### 35",2,2202
6499,6499,"Tricia is a third of Amilia’s age and Amilia is a quarter of Yorick’s age. Yorick is twice Eugene’s age and Khloe is a third of Eugene’s age. Rupert is 10 years older than Khloe but 2 years younger than Vincent who is 22 years old. How old, in years, is Tricia?","Rupert is younger than Vincent by 2 years, so he is 22 years old – 2 years = <<22-2=20>>20 years old.
Khloe is 10 years younger than Rupert so she is 20 years old – 10 years = 10 years old.
Eugene is 3 times older than Khloe so he is 10 years old * 3 = <<10*3=30>>30 years old.
Yorick is twice Eugene’s age so he is 30 years old * 2 = <<30*2=60>>60 years old.
Amilia is a quarter of Yorick’s age so she is 60 years old / 4 = <<60/4=15>>15 years old.
Tricia is a third of Amilia’s age so she is 15 years old / 3 = <<15/3=5>>5 years old.
#### 5",3,2287
1463,1463,"Ned is an explosives specialist racing to deactivate a time bomb on the top floor of a building. The building has twenty flights of stairs to the top floor, and Ned can run up one flight of stairs in eleven seconds. The time bomb has 72 seconds left on the timer, and Ned has spent 165 seconds running up the stairs. How many seconds will Ned have to diffuse the bomb when he reaches it?","Ned has gone up 165 / 11 = <<165/11=15>>15 flights of stairs.
Thus, he has 20 - 15 = <<20-15=5>>5 flights of stairs left to run up.
He will spend 5 * 11 = <<5*11=55>>55 seconds running up the remaining stairs to the bomb.
Therefore, he will have 72 - 55 = <<72-55=17>>17 seconds to defuse the bomb.
#### 17",4,3489
7202,7202,"Chris has twelve marbles, and Ryan has twenty-eight marbles. If they put marbles together in a pile and then each takes away 1/4 of marbles from the pile, calculate the number of marbles remaining in the pile.","If Chris and Ryan put together their marbles in a pile, the pile will have 12+28 = <<12+28=40>>40 marbles.
If they then take 1/4 of the marbles each, every person will receive 1/4*40 = <<1/4*40=10>>10 marbles.
Both of them will have taken a total of 10+10 = <<10+10=20>>20 marbles.
The number of marbles remaining in the pile is 40-20 = <<40-20=20>>20
#### 20",0,1619
1523,1523,Jason's stove catches on fire. Buying a replacement will cost $1200 and fixing the damage to the wall behind it will cost 1/6th as much. How much does he spend in total?,"First find the cost of fixing the wall: $1200 * 1/6 = $<<1200*1/6=200>>200
Then add the cost of the replacement stove to find the total cost: $200 + $1200 = $<<200+1200=1400>>1400
#### 1400",1,2730
2008,2008,25% of oysters have pearls in them. Jamie can collect 16 oysters during each dive. How many dives does he have to make to collect 56 pearls?,"First find how many pearls Jamie collects per dive by multiplying the number of oysters by the chance each oyster has a pearl: .25 pearls/oyster * 16 oysters/dive = 4 pearls/dive
Then divide the number of pearls he wants by the number of pearls per dive to find the number of dives: 56 pearls / 4 pearls/dive = <<56/4=14>>14 pearls/dive
#### 14",2,807
6711,6711,"40 less than 10 times Diaz's age is 20 more than 10 times Sierra's age. If Sierra is currently 30 years old, how old will Diaz be 20 years from now?","If Sierra is currently 30 years old, 10 times her age is 30*10 = <<30*10=300>>300.
Twenty more than 10 times Sierra's age is 300+20 = 320
320 is 40 less than ten times Diaz's age so 10 times Diaz's age is 320+40 = 360
If ten times Diaz's age is 360, Diaz is 360/10 = <<360/10=36>>36 years old.
Twenty years from now, Diaz will be 20+36 = <<20+36=56>>56 years old.
#### 56",3,3409
5031,5031,"Gretchen read that you should spend 10 minutes walking for every 90 minutes you spend sitting. If Gretchen spends 6 hours working at her desk, how long will she spend walking?","First find the total number of minutes Gretchen spends sitting at her desk: 6 hours * 60 minutes/hour = <<6*60=360>>360 minutes
Then divide this amount by 90 minutes to find how many walking breaks Gretchen takes: 360 minutes / 90 minutes/break = <<360/90=4>>4 breaks
Then multiply the number of breaks by the length of each break to find how long Gretchen spends walking: 4 breaks * 10 minutes/break = <<4*10=40>>40 minutes
#### 40",4,3880
4729,4729,"A Lamplighter monkey has long arms and can swing from branch to branch at a speed of 10 feet per second.  But when the monkey is frightened, it will run along the branches at a speed of 15 feet per second.  If a Lamplighter monkey runs for 5 seconds to evade a predator, then swings for another 10 seconds to add distance between itself and the predator, how far, in feet, will the monkey travel?","At a speed of 15 feet per second, for 5 seconds, the monkey will travel 5 * 15 = <<5*15=75>>75 feet.
At a speed of 10 feet per second for 10 seconds, the monkey will travel 10 * 10 = <<10*10=100>>100 feet.
In total, the monkey will travel 75+100=<<75+100=175>>175 feet.
#### 175",0,4678
2684,2684,"A state fair charges $5 for a ticket. Two-thirds of the people who buy a ticket will buy deep-fried fair food for $8, one quarter will go on a ride for $4, and one eighth will spend $15 on a souvenir. The fair made $2520 from tickets. How many dollars did they make in all?","The fair made $2520 from tickets, so they had 2520 / 5 = <<2520/5=504>>504 people attend the fair.
Two-thirds of those people will buy food, so 504 * 2 / 3 = <<504*2/3=336>>336 people will buy food.
The fair will make 336 * 8 = $<<336*8=2688>>2688 from food.
A quarter of the people will go on a ride, so 504 / 4 = <<504/4=126>>126 people will go on a ride.
The fair will make 126 * 4 = $<<126*4=504>>504 from rides.
An eighth of the people will buy a souvenir, so 504 / 8 = <<504/8=63>>63 people will buy souvenirs.
The fair will make 63 * 15 = $<<63*15=945>>945 from souvenirs.
In all, the fair will make 2520 + 2688 + 504 + 945 = $<<2520+2688+504+945=6657>>6657.
#### 6657",1,25
512,512,Elysse can carry 3 bags of groceries into her home with each trip from the car. Her brother can carry the same amount. How many trips will it take them to carry 30 bags of groceries?,"Elysse and her brother can carry 3 x 2 = <<3*2=6>>6 bags of groceries with each trip from the car.
Therefore, it will take both of them 30/6 = <<30/6=5>>5 trips.
#### 5",2,4677
125,125,"Haley grows at the rate of 3 inches every year. If she is currently 20 inches tall, what will be her height after 10 years?","After 10 years, growing at the rate of 3 inches every year, Haley will have grown by 3*10 = <<3*10=30>>30 inches.
If she is currently 20 inches tall, her height after 10 years will be 20+30 = <<20+30=50>>50 inches.
#### 50",3,4157
5049,5049,"Armand is playing a guessing game with his dad where he has to guess a number his dad is thinking of. His dad tells him that the number, when multiplied by 3, is three less than twice 51. What is the number?","102 is twice 51 because 2 x 51 = <<2*51=102>>102
Three less than 102 is 99 because 102 -3 = <<102-3=99>>99
The number is 33 because 99 / 3 = <<99/3=33>>33
#### 33",4,1738
