,Unnamed: 0,question,answer,cluster,index
3753,3753,"Out of 804 senior high school students, 75% passed their exams and so got their degree. The rest failed. How many didn't pass their exams?","Find the number of students who got their degree by multiplying: 804 students * 75% = <<804*75*.01=603>>603 students.
Then find the number of students who didn't pass their exams by subtracting this number from the total: 804 students - 603 students = <<804-603=201>>201 students.
#### 201",0,582
6639,6639,Maria has a pen and a pencil. She bought the pen for half the price of the pencil. The pencil cost her $8. How much did Maria pay for both the pen and the pencil?,"The pen is half the price of the pencil, so it's 8 * 0.5 = $<<8*0.5=4>>4.
So both the pen and the pencil cost Maria 8 + 4 = $<<8+4=12>>12.
#### 12",1,1532
3432,3432,"Milly and Floretta are having a water balloon fight in their garden. They use 3 packs of their own water balloons and also use 2 packs of a neighbor’s water balloons. Each pack of water balloons contains 6 balloons. Milly and Floretta fill all of the balloons then split them evenly, but Milly takes an extra 7 balloons when Floretta isn't looking. How many water balloons is Floretta left with?","Milly and Floretta have a total of 3 packs of their own water balloons + 2 packs of the neighbor’s water balloons = <<3+2=5>>5 packs of water balloons.
So there is a total of 5 packs of water balloons * 6 balloons per pack of water balloons = <<5*6=30>>30 water balloons available.
As they split them evenly, they each have 30 water balloons / 2 = <<30/2=15>>15 water balloons.
After Milly steals some balloons, Floretta is left with 15 – 7 = <<15-7=8>>8 water balloons.
#### 8",2,3837
6499,6499,"Tricia is a third of Amilia’s age and Amilia is a quarter of Yorick’s age. Yorick is twice Eugene’s age and Khloe is a third of Eugene’s age. Rupert is 10 years older than Khloe but 2 years younger than Vincent who is 22 years old. How old, in years, is Tricia?","Rupert is younger than Vincent by 2 years, so he is 22 years old – 2 years = <<22-2=20>>20 years old.
Khloe is 10 years younger than Rupert so she is 20 years old – 10 years = 10 years old.
Eugene is 3 times older than Khloe so he is 10 years old * 3 = <<10*3=30>>30 years old.
Yorick is twice Eugene’s age so he is 30 years old * 2 = <<30*2=60>>60 years old.
Amilia is a quarter of Yorick’s age so she is 60 years old / 4 = <<60/4=15>>15 years old.
Tricia is a third of Amilia’s age so she is 15 years old / 3 = <<15/3=5>>5 years old.
#### 5",3,2287
3941,3941,"Timmy plans to ride a skateboard ramp that is 50 feet high. He knows he needs to go 40 mph at the start to make it all the way to the top. He measures his speed on three trial runs and goes 36, 34, and 38 mph. How much faster does he have to go than his average speed to make it up the ramp?","His total speed from the trials is 108 because 36 + 34 + 38 = <<36+34+38=108>>108
His average speed was 36 mph because 108 / 3 = <<108/3=36>>36
He needs to go 4 mph faster to make it to the top because 40 - 36 = <<40-36=4>>4.
#### 4",4,135
2454,2454,"In a classroom of 81 students, two-thirds are wearing striped shirts while the others are wearing checkered shirts. If there are 19 more students wearing shorts than checkered shirts, how many more students are wearing striped shirts than shorts?","81/3 = <<81/3=27>>27 students are wearing checkered shirts.
27 x 2 = <<27*2=54>>54 students are wearing striped shirts.
27 + 19 = <<27+19=46>>46 students are wearing shorts.
54 - 46 = <<54-46=8>>8 more students are wearing striped shirts than shorts.
#### 8",0,5081
2180,2180,"A group of six friends planned to buy a car. The cost of the car is $1700 and they plan to share the cost equally. They had a car wash to help raise funds, which would be taken out of the total cost. The remaining cost would be split between the six friends. At the car wash, they earn $500. However, Brad decided not to join in the purchase of the car. How much more does each friend have to pay now that Brad isn't participating?","Start by finding the total that is left, $1700 car price - $500 earned at car wash = $<<1700-500=1200>>1200 remaining.
So the six friends should pay $1200 / 6 people = $<<1200/6=200>>200 each.
Since Brad is not joining, then the 5 friends have to split Brad's share which is $200/5 = $<<200/5=40>>40 each.
#### 40",1,4265
3471,3471,"Teddy is a pillow-maker.  He uses 3 less than 5 pounds of fluffy foam material to make each pillow.  If Teddy has three tons of fluffy foam material, how many pillows can he make?","Three less than 5 is 5-3=<<5-3=2>>2.
Since one ton is 2000 pounds, three tons is 2000*3=<<6000=6000>>6000 pounds.
Thus, in 6000 pounds, he can make 6000/2=<<6000/2=3000>>3000 pillows.
#### 3,000",2,2361
3722,3722,"Jorge is 24 years younger than Simon. In 2005, Jorge is 16 years old. In 2010, how old would Simon be?","In 2005, Simon was 16+24 = <<16+24=40>>40 years old.
There are 2010-2005 = <<2010-2005=5>>5 years between 2005 and 2010.
In 2010 Simon would be 40+5 = 45 years old.
#### 45",3,1556
3637,3637,"Gretchen is a scuba diver.  She likes to hunt for treasure on the ocean's floor, but when she finds something to keep, she must carry it back to the surface of the water to give it to her shipmate on the boat.  She can only carry 3 objects at a time while she swims underwater.  If she finds 17 objects underwater, what is the fewest number of trips to the surface of the water she must take to carry all 17 objects to the boat?","To carry 17 objects, three at a time, it takes 17/3 = 5 and 2/3 loads.
This calculation means that she takes 5 trips carrying 3 objects per trip, and then she takes one additional trip carrying only two objects.
Thus, in reality, she takes 5 + 1 = <<5+1=6>>6 trips to the surface.
#### 6",4,4400
7040,7040,There are 20 dolphins in the aqua park. One-fourth of the dolphins are fully trained. Two-third of the remaining dolphins are currently in training and the rest will be trained next month. How many dolphins will be trained next month?,"20 x 1/4 = <<20*1/4=5>>5 dolphins are fully trained.
So, 20 - 5 = <<20-5=15>>15 dolphins are not yet fully trained.
15 x 2/3 = <<15*2/3=10>>10 are currently in training.
Therefore, 15 - 10 = <<15-10=5>>5 dolphins will be trained next month.
#### 5",0,4899
4252,4252,"Maria bought a ticket to a ZOO. The regular price stands at $15, but she was able to get a 40% discount. How much did Maria pay for the ticket?","The discount Maria got was 40/100 * 15 = $<<40/100*15=6>>6.
That means the price for her ticket was 15 - 6 = $<<15-6=9>>9.
#### 9",1,1375
5737,5737,Paula has 20 candies to be given out to her six friends. She needs to buy four additional candies so she can give an equal number of candies to her friends. How many candies will each of her friends get?,"Paula will have a total of 20 + 4 = <<20+4=24>>24 candies.
Thus, each of her friends will receive 24/6 = <<24/6=4>>4 candies.
#### 4",2,2418
4566,4566,"Zion is 8 years old and his dad is 3 more than 4 times his age. In 10 years, how many years older is Zion's dad than him?","Four times Zion's age is 8 x 4 = <<8*4=32>>32.
So Zion's dad is 32 + 3 = <<32+3=35>>35 years old.
In 10 years, Zion will be 8 + 10 = <<8+10=18>>18 years old.
In 10 years, Zion's dad will be 35 + 10 = <<35+10=45>>45 years old.
Hence, in 10 years, Zion's dad will be 45 - 18 = <<45-18=27>>27 years older than Zion.
#### 27",3,3743
4458,4458,"If the normal hours of operation of Jean's business are 4 pm to 10p every day Monday through Friday, and from 6 pm to 10 pm on weekends, how many hours is the business open in a week?","First, we find the number of hours per weekday by subtracting the smaller number time from the larger one, finding 10-4= <<10-4=6>>6 hours per weekday.
As there are 5 weekdays, this means the business is open 6*5=30 hours a week on the weekdays.
Then we find out the amount of time the business is open on a weekend day, using the same process as we did with the weekdays, finding Jean's business is open 10-6= <<10-6=4>>4 hours each weekend day.
Since there are two weekend days, this means they are open 4*2=<<4*2=8>>8 hours on the weekends.
We add these two totals together to find that 30+8= <<30+8=38>>38 hours per week.
#### 38",4,1597
5104,5104,"The school band is going to a competition. Five members play the flute. There are three times as many members who play the trumpet. There are eight fewer trombone players than trumpeters, and eleven more drummers than trombone players. There are twice as many members that play the clarinet as members that play the flute. Three more members play the French horn than play the trombone. How many seats are needed on the bus?","There are 3 trumpets/flute x 5 flutes = <<3*5=15>>15 trumpet players
There are 15 players - 8 players = <<15-8=7>>7 trombone players
There are 7 players + 11 players = <<7+11=18>>18 drummers.
There are 2 clarinets/flute x 5 flutes = 10 clarinet players
There are 7 players + 3 players = <<7+3=10>>10 French horn players
In total 5 players + 15 players + 7 players + 18 players + 10 players + 10 players = <<5+15+7+18+10+10=65>>65 seats needed.
#### 65",0,4651
745,745,"Village Foods sells good food at a fair price.  Their specialty is fresh vegetables.  If they get 500 customers per month, and each customer purchases 2 heads of lettuce for $1 each and 4 tomatoes for $0.5 apiece, then how much money, in dollars, will the store receive in sales of lettuce and tomatoes per month?","2 heads of lettuce at $1 apiece is 2*$1=$<<2*1=2>>2.
4 tomatoes at $0.50 apiece is 4*$0.5=$<<4*0.5=2>>2.
Thus, each customer purchases $2+$2=$<<2+2=4>>4 in lettuce and tomatoes per month.
Therefore, if 500 customers per month spend $4 on lettuce and tomatoes, then the store will receive $4*500=$<<4*500=2000>>2000 per month on sales of lettuce and tomatoes.
#### 2000",1,645
4330,4330,"Simon has 20% more legos than Bruce, who has 20 more than Kent.  If Kent has 40 legos, how many does Simon have?","Bruce has 20 more legos than Kent who has 40 so Bruce has 20+40 = <<20+40=60>>60 legos
Simon has 20% more legos than Bruce who has 60 legos so that's .20*60 = <<20*.01*60=12>>12 more legos
20% more is 12 legos and Bruce has 60 so Simon has 12+60 = 72 legos
#### 72",2,4499
6294,6294,"Roger's age is 5 more than twice Jill's age. In 15 years, their age difference will be 30 years less than Finley's age. If Jill is 20 years old now, how old is Finley?","Twice Jill's age is 2*20=<<2*20=40>>40
If Roger's age is 5 more than twice Jill's age, he is 5+40=45 years old.
In 15 years, Jill will be 20+15=<<20+15=35>>35 years old.
Roger's age will be 45+15=<<45+15=60>>60 years old in 15 years.
The age difference between Roger and Jill in fifteen years will be 60-35=<<60-35=25>>25 years
In 15 years, the age difference between Roger and Jill will be 30 years less than Finley's age, meaning in fifteen years Finley will be 30+25=<<30+25=55>>55 years old.
Currently, Finley is 55-15=<<55-15=40>>40 years old.
#### 40",3,4913
5606,5606,"Gunther needs to clean his apartment.  It takes him 45 minutes to vacuum the carpets, 60 minutes to dust the furniture, 30 minutes to mop the floors in his kitchen, and 5 minutes to brush each cat, and he has three cats.  If he has 3 hours of free time available, and he uses this time to clean his apartment, how many minutes of free time will he have left after he cleans the apartment?","It will take 3 * 5 = <<3*5=15>>15 minutes to brush his cats.
All together, it will take 45 + 60 + 30 + 15 = <<45+60+30+15=150>>150 minutes to clean his apartment.
In three hours, there are 60 * 3 = <<60*3=180>>180 minutes.
Thus, he will have 180 - 150 = <<180-150=30>>30 minutes of free time remaining.
#### 30",4,3208
3383,3383,"Hannah's AdBlock blocks all but 20% of ads, and 20% of the ads it doesn't block are actually interesting. What percentage of ads aren't interested and don't get blocked?","First find the percentage of ads that aren't interesting: 100% - 20% = 80%
Then multiply that percentage by the percentage of ads that don't get blocked to find the percentage of ads that meet both criteria: 80% * 20% = 16%
#### 16",0,903
2320,2320,"Harry is ordering pizza. A large pizza is 14. It costs $2 per topping. He orders 2 large pizzas, each with 3 toppings. He then adds a 25% tip. What is the total cost?","The toppings on each pizza are $6 because 3 x 2 = <<3*2=6>>6
The total for each pizza is $20 because 14 + 6 = <<14+6=20>>20
The pizzas cost $40 because 2 x 20 = <<2*20=40>>40
The tip is $10 because 40 x .25 = <<40*.25=10>>10
The total is $50 because 40+ 10 = <<40+10=50>>50
#### 50",1,2510
4720,4720,"Cara has 60 marbles in a bag. 20 of them are yellow, half as many are green, and the remaining marbles are equally divided between red and blue. If Cara picks a marble at random, what are the odds it's blue (expressed as a percentage)?","First find the number of green marbles: 20 yellow marbles / 2 = <<20/2=10>>10 green marbles
Then find how many marbles are either red or blue: 60 marbles - 20 yellow marbles - 10 green marbles = <<60-20-10=30>>30 marbles
Divide this number in half to find how many marbles are blue: 30 marbles / 2 = <<30/2=15>>15 blue marbles
Finally, divide the number of blue marbles by the total number of marbles and multiply by 100 to find the percentage chance of getting a blue marble: 15 marbles / 60 marbles * 100 = <<15/60*100=25>>25%
#### 25",2,4195
2501,2501,Ann is 6 years old. Her brother Tom is now two times older. What will be the sum of their ages 10 years later?,"Tom is currently two times older than Ann, which means he is 6 * 2 = <<6*2=12>>12 years old.
In ten years Ann is going to be 6 + 10 = 16 years old.
And Tom is going to be 12 + 10 = <<12+10=22>>22 years old.
So the sum of their ages will be 16 + 22 = <<16+22=38>>38.
#### 38",3,2912
3555,3555,Alex has 4 pens in the first week of a month. Every week her pen collection doubles. How many more pens will Alex have than Jane if Jane will have 16 pens after a month?,"If Alex has 4 pens in the first week of a month, she will have 4*2 = <<4*2=8>>8 pens in the second week.
After her pen collection doubles in the third week, Alex will have 2*8 = <<2*8=16>>16 pens.
In the last week of the month, Alex will have 2*16 = <<2*16=32>>32 pens after her pen collection.
If Jane has 16 pens after a month, Alex will have 32-16 = <<32-16=16>>16 more pens than Jane.
#### 16",4,1613
2248,2248,"A basketball team won 40 games in their last competition. In the next competition, they won 5/8 times as many games as they won in their first competition. In the third competition, they won the same number of games as the sum of the first and second competition winnings. Calculate the total number of wins they had in the three competitions.","If they won 40 games in the first competition, they won 5/8*40 = <<5/8*40=25>>25 games in their second season.
In the third competition, they won games equal to the sum of the games they won in the last two competitions, which is 25+40 = <<25+40=65>>65 games.
Since the total number of games they won in the first two competitions is 65, and they won 65 more in the third competition, they won a total of 65+65 = <<65+65=130>>130 in all competitions.
#### 130",0,153
3522,3522,"Victory and Sam have saved money for their holiday spending. Victory saves $100 less than Sam. If Sam saves $1000, how much is the total money saved for holiday spending?","Victory saves $1000 - $100 = $<<1000-100=900>>900 for holiday spending.
The total money saved is $1000 + $900 = $<<1000+900=1900>>1900.
#### 1900",1,4454
6554,6554,"Michelle uses 40 beads in making a necklace. She uses 5 blue beads and 2 times as many red beads as blue beads. Then she uses the same number of white beads as the blue and red beads combined. If the rest of the beads she uses are silver, how many silver beads does she use?","Michelle uses 5 x 2 = <<5*2=10>>10 red beads.
She uses 5 + 10 = <<5+10=15>>15 white beads.
So she uses a total of 5 + 10 + 15 = <<5+10+15=30>>30 blue, red, and white beads.
Therefore, she uses 40 - 30 = <<40-30=10>>10 silver beads.
#### 10",2,2506
5186,5186,8 years ago James was twice Janet's age.  In 15 years James will turn 37.  Susan was born when Janet turned 3.  How old will Susan turn in 5 years?,"James is 37-15=<<37-15=22>>22 years old
So 8 years ago he was 22-8=<<22-8=14>>14 years old
That means Janet was 14/2=<<14/2=7>>7 years old 8 years ago
So Janet is now 7+8=<<7+8=15>>15 years old
That means Susan is 15-3=<<15-3=12>>12 years old
So in 5 years she will be 12+5=<<12+5=17>>17 years old
#### 17",3,1129
1150,1150,A driver travels 30 miles per hour for 3 hours and 25 miles per hour for 4 hours to deliver goods to a town every day from Monday to Saturday. How many miles does the driver travel in a week?,"The driver travels (3 hours * 30 mph) + (25 mph * 4 hours) = <<(3*30)+(25*4)=190>>190 miles per day
From Monday to Saturday he travels in total 190 miles/day * 6 days = <<190*6=1140>>1,140 miles in a week
#### 1140",4,4683
1791,1791,"At a convention, 16 of 36 delegates arrived with pre-printed name badges. Half of the remaining delegates made their own, hand-written name badges. How many delegates were not wearing name badges?","There were 36-16=<<36-16=20>>20 without pre-printed name badges.
Then 20/2=<<20/2=10>>10 made hand-written badges
There were 20-10=<<20-10=10>>10 with no name badge.
#### 10",0,108
180,180,"Derek has $960 to buy his books for the semester. He spends half of that on his textbooks, and he spends a quarter of what is left on his school supplies. What is the amount of money Derek has left?","Amount spent on textbooks is 960/2 = <<960/2=480>>480 dollars.
Amount spent on school supplies is 480/4 = <<480/4=120>>120 dollars.
Amount Derek has left 960-480-120 = <<960-480-120=360>>360 dollars.
#### 360",1,1071
5903,5903,The coffee shop sold 8 more than four times the number of lattes as it did teas. If 6 teas were sold how many lattes did the coffee shop sell?,"Four times the number of teas sold is 4*6=<<4*6=24>>24
24+8=<<24+8=32>>32 lattes were sold
#### 32",2,2658
2125,2125,"For every 1 year a human ages, a dog ages 7 years.  When Max is 3, how much older, in dog years, will his 3-year-old dog be?","The 3-year-old dog ages 7 years to one human year so he will technically be 3*7 = <<3*7=21>>21 years old in dog years
Max's dog will be 21 when Max turns 3 so the age difference is 21-3 = <<21-3=18>>18
#### 18",3,4183
6268,6268,"Maryann spends seven times as long doing accounting as calling clients. If she worked 560 minutes today, how many minutes did she spend calling clients?","Let a be the amount of time Maryann spends doing accounting and c be the amount of time she spends calling clients: We know that a + c = 560 and a = 7c.
Substituting the second equation into the first equation, we get 7c + c = 560
Combining like terms, we get 8c = 560
Dividing both sides by 8, we get c = 70
#### 70",4,3660
4398,4398,An adult panda can eat 138 pounds of bamboo each day. A baby panda can eat 50 pounds of bamboo a day.  How many pounds of bamboo will the pandas eat in a week?,"An adult panda will eat 138 pounds of bamboo * 7 days = <<138*7=966>>966 pounds.
A baby panda will eat 50 pounds * 7 days = <<50*7=350>>350 pounds.
Total the pandas will eat 966 pounds + 350 = <<966+350=1316>>1316 pounds of bamboo.
#### 1316",0,1298
6392,6392,Ariana is past due on three bills. The first bill for $200 charges 10% simple interest for each overdue month and it's 2 months overdue. The second bill for $130 charges a flat $50 late fee per month and is 6 months overdue. The last bill is two months late and charges a $40 fee the first month overdue and twice that fee the second month overdue and is for $444. How much does Ariana owe in total?,"First find the monthly late fee for the first bill: $200 * 10% = $<<200*10*.01=20>>20
Then multiply that by the number of months the bill is overdue: $20/month * 2 months = $<<20*2=40>>40
Then find the total late fee for the second bill the same way: $50/month * 6 months = $<<50*6=300>>300
Then find the third bill's second late fee: 2 * $40 = $<<2*40=80>>80
Then add all the bill amounts and late fees to find the total cost: $40 + $200 + $300 + $130 + $40 + $80 + $444 = $<<40+200+300+130+40+80+444=1234>>1234
#### 1234",1,2779
3893,3893,"Rocco stores his coins in piles of 10 coins each. He has 4 piles of quarters, 6 piles of dimes, 9 piles of nickels, and 5 piles of pennies. How much money does Rocco have?","Each pile has 10 coins, so he has:
10 * 4 * $.25 = $<<10*4*.25=10.00>>10.00 worth of quarters,
10 * 6 * $.10 = $<<10*6*.10=6.00>>6.00 worth of dimes,
10 * 9 * $.05 = $<<10*9*.05=4.50>>4.50 worth of nickels, and
10 * 5 * $.01 = $<<10*5*.01=0.50>>0.50 worth of pennies.
Altogether he has $10.00 + $6.00 + $4.50 + $0.50 = $<<10+6+4.5+0.5=21.00>>21.00
#### 21",2,171
3678,3678,Tom plants a tree that is 1 year old and 5 feet tall.  It gains 3 feet per year.  How old is it when it is 23 feet tall?,"It has grown 23-5=<<23-5=18>>18 feet
So it is 18/3=<<18/3=6>>6 years older
That means it is 6+1=<<6+1=7>>7 years old
#### 7",3,2473
6895,6895,"John and James decided to have a dance-off.  John danced for 3 hours and then another 5 hours after taking a 1-hour break.  James danced the whole time John was dancing and resting, and then another 1/3 times more hours.  How long was their combined dancing time without including  John's break time?","John dances 3+5=<<3+5=8>>8 hours
John's total time is 3+5+1=<<3+5+1=9>>9 hours
James dances 9/3=<<9/3=3>>3 hours longer than that
So James dances 9+3=<<9+3=12>>12 hours
So the total dancing time is 8+12=<<8+12=20>>20 hours
#### 20",4,4946
